embedding_x,embedding_y
14.866176,-3.6359558
15.220804,2.8701973
14.411368,-7.933553
-1.6508467,20.211317
-2.188643,-1.4912794
15.023514,-4.128831
14.447627,-7.161162
15.042296,-3.9590552
13.997803,-9.924151
16.457174,19.10661
-4.2908797,7.340941
-6.8435273,14.996895
13.956333,-9.987251
-8.622257,10.851112
14.680244,-6.0067663
13.9685545,-9.985961
-5.197982,-2.7495327
-3.3764958,19.162085
-1.7881658,-10.582689
14.077508,-9.719973
14.325192,-8.927737
14.224681,7.8214536
14.988263,-0.27177057
17.177801,19.678364
14.379298,-8.645086
-1.0517241,-1.1655492
15.044654,-3.9344635
18.001865,20.872229
15.010788,-3.9196398
-4.2790155,7.24839
14.710669,-5.0190916
-3.4454055,19.100294
-1.2478546,1.4813672
-3.8746257,3.6194088
-5.715885,16.288918
14.964784,-1.696826
13.979415,-9.962714
13.149878,10.28618
14.440629,-8.560061
-4.2885866,7.2548547
14.3592825,-8.757514
-9.168009,12.7399845
15.0251875,-4.0505395
-9.128964,12.821168
-8.373889,13.706215
16.508247,19.086876
-7.4590616,12.427533
14.051252,-9.765917
-9.250085,12.7642355
13.197846,9.815452
-3.2912605,-2.0802321
-4.793409,18.29936
13.153285,10.294387
15.108934,-3.7805889
-1.7452705,20.19101
-4.276658,-7.2591267
-2.3469002,19.892193
15.357991,3.3720565
14.337261,-8.8132715
-6.333429,15.574432
-4.750447,-5.4600244
-1.7269363,20.141884
15.17998,2.963498
-4.404405,7.1247926
-1.3064938,1.4641467
-4.2869015,7.253191
13.973044,-9.972845
14.200318,7.94533
14.06274,-9.752837
16.195547,2.5333018
14.491737,-7.2405534
14.93799,-0.7501088
1.5107118,-13.384218
-4.6780267,-1.9527696
-1.6739573,-10.718399
14.105241,7.9633293
14.396196,-7.383936
14.295393,-9.031578
14.626324,-5.64984
-8.376187,13.705823
1.5000684,-13.37414
15.007793,-4.2303853
-4.4062147,7.1207514
-4.4385786,7.1406875
-1.0777009,1.9501084
15.04281,-0.15131517
-0.9692185,20.335058
-9.236725,12.75146
14.092947,-9.665476
14.944882,-0.80165684
14.255511,7.7597003
-9.167669,12.779668
14.69126,-5.1258893
0.26718912,17.839378
15.399287,2.0809276
-4.2854652,-1.760233
14.360455,-8.796764
14.915062,-3.1647174
-4.895626,-3.9921002
15.1329775,2.8094382
14.679218,-5.27229
-2.0378196,-10.312809
-4.659262,-1.9357464
14.831279,-4.6092644
14.996948,-0.6029154
10.0634165,11.231881
16.984713,19.182594
15.044773,-3.9568782
-1.0127798,-1.1826745
-4.0931296,-7.878389
14.9650135,-1.8123397
-7.477264,12.389016
-2.312826,19.934853
-4.6283684,-1.9393709
14.822175,-4.4129457
14.397315,-8.595554
14.493846,-6.578299
-5.251713,17.006565
14.294798,-9.044733
14.411983,-7.567531
14.428277,-7.3010406
